Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,log_s_mean,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,NC(C(=O)O)CSSCC(C(=O)O)N,C6H12N2O4S2,240.3,14,0,0.67,7,6,4,55.1,177.24,0.67,-5.08,-0.81,-5.83,-1.33,-2.476,2.33,5.17E+04,2.15E+02,Highly soluble,2,2.39E+04,9.96E+01,Highly soluble,0.95,2.17E+03,9.02E+00,Soluble,1.76,Low,No,No,No,No,No,No,No,-11.37,0,1,1,1,2,0.55,0,1,1,3.39
Molecule 2,OCC1OC(C(C1O)O)n1ccc(nc1=O)N,C9H13N3O5,243.22,17,6,0.56,2,6,4,55.85,130.83,0.32,-2.13,-2.88,-2.29,-2.25,-1.846,-0.14,1.78E+02,7.32E-01,Very soluble,-0.09,1.98E+02,8.16E-01,Very soluble,1.01,2.49E+03,1.02E+01,Soluble,0.26,Low,No,No,No,No,No,No,No,-9.3,0,1,0,0,1,0.55,0,0,1,3.84
Molecule 3,OC(=O)C(Cc1ccc(cc1)O)N,C9H11NO3,181.19,13,6,0.22,3,4,3,47.52,83.55,0.79,-2.26,0.35,-1.7,0.39,-0.486,0.32,3.76E+02,2.07E+00,Highly soluble,1.04,1.98E+03,1.10E+01,Highly soluble,-1.29,9.29E+00,5.13E-02,Soluble,0.023,High,No,No,No,No,No,No,No,-9.01,0,0,0,0,2,0.55,0,0,1,1.54
Molecule 4,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(N)[nH]c2=O,C10H13N5O5,283.24,20,9,0.5,2,7,5,65.5,159.51,-0.22,-1.89,-3,-2.36,-2.22,-1.938,-0.61,7.01E+01,2.48E-01,Very soluble,-0.94,3.25E+01,1.15E-01,Very soluble,0.51,9.10E+02,3.21E+00,Soluble,-0.347,Low,No,No,No,No,No,No,No,-9.37,0,1,1,1,1,0.55,0,0,0,3.86
Molecule 5,NC(=O)c1cnccn1,C5H5N3O,123.11,9,6,0,1,3,1,30.13,68.87,0.74,-0.6,-0.42,-1.66,0.08,-0.372,-0.65,2.74E+01,2.23E-01,Very soluble,-0.37,5.19E+01,4.22E-01,Very soluble,-1.2,7.82E+00,6.35E-02,Soluble,-0.74,High,No,No,No,No,No,No,No,-7.48,0,4,0,0,1,0.55,0,0,1,1.47
Molecule 6,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cc2c(n1)nccn2,C10H12N4O4,252.23,18,9,0.5,2,7,3,58.27,113.52,1.23,-1.76,-1.89,-1.81,-1.66,-1.178,-0.53,7.39E+01,2.93E-01,Very soluble,-0.11,1.96E+02,7.78E-01,Very soluble,0.05,2.81E+02,1.11E+00,Soluble,-0.197,High,No,No,No,No,No,No,No,-9.09,0,1,0,0,0,0.55,0,0,0,3.95
Molecule 7,O=C1NCC(=O)N1,C3H4N2O2,100.08,7,0,0.33,0,2,2,28.64,58.2,0.33,-1.69,-1.94,-1.39,0.07,-0.924,0.6,4.02E+02,4.02E+00,Highly soluble,0.98,9.56E+02,9.56E+00,Highly soluble,-0.51,3.08E+01,3.08E-01,Soluble,0.357,Low,No,No,No,No,No,No,No,-8.11,0,4,0,0,2,0.55,0,1,1,1.02
Molecule 8,OC(=O)C(Cc1c[nH]c2c1cccc2)N,C11H12N2O2,204.23,15,9,0.18,3,3,3,57.36,79.11,0.94,-1.06,1.12,-1.66,1.53,0.174,-0.68,4.22E+01,2.07E-01,Very soluble,-0.11,1.58E+02,7.72E-01,Very soluble,-2.76,3.57E-01,1.75E-03,Soluble,-1.183,High,No,No,No,No,No,No,No,-8.3,0,0,0,0,0,0.55,0,0,1,2.09
Molecule 9,O=c1cc[nH]c(=O)[nH]1,C4H4N2O2,112.09,8,6,0,0,2,2,27.68,65.72,0.52,-1.07,-0.94,-0.8,1.35,-0.188,-0.42,4.30E+01,3.84E-01,Very soluble,0.18,1.69E+02,1.51E+00,Highly soluble,-1.41,4.39E+00,3.92E-02,Soluble,-0.55,High,No,No,No,No,No,No,No,-7.74,0,4,0,0,2,0.55,0,0,1,1.35
Molecule 10,Nc1nc2nc[nH]c2c(=O)[nH]1,C5H5N5O,151.13,11,9,0,0,3,3,38.91,100.45,-0.49,-1.07,-0.76,-1.31,0.6,-0.606,-0.71,2.96E+01,1.96E-01,Very soluble,-0.55,4.26E+01,2.82E-01,Very soluble,-1.7,3.04E+00,2.01E-02,Soluble,-0.987,High,No,No,No,No,No,No,No,-7.98,0,4,0,0,1,0.55,0,0,1,1.8
Molecule 11,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1cc1ncnc(c1c2)N,C14H15N5O4,317.3,23,13,0.36,2,7,4,80.18,139.54,1.11,-1.27,-1.14,-0.87,-1.44,-0.722,-1.29,1.61E+01,5.09E-02,Very soluble,-1.16,2.18E+01,6.86E-02,Very soluble,-1.25,1.80E+01,5.68E-02,Soluble,-1.233,Low,No,No,No,No,No,No,No,-9.14,0,1,0,1,0,0.55,0,0,0,3.97
Molecule 12,CC(=O)OCCn1ccc(=O)[nH]c1=O,C8H10N2O4,198.18,14,6,0.38,4,4,1,48.29,81.16,1.4,-0.9,-0.9,-0.24,0.64,0,-0.55,5.52E+01,2.79E-01,Very soluble,-0.32,9.45E+01,4.77E-01,Very soluble,-1.53,5.82E+00,2.94E-02,Soluble,-0.8,High,No,No,No,No,No,No,No,-8.15,0,1,0,0,1,0.55,0,0,1,2.18
Molecule 13,Nc1ccc(cc1)S(=O)(=O)N,C6H8N2O2S,172.2,11,6,0,1,3,2,41.84,94.56,0.61,-0.62,1,-0.3,-0.73,-0.008,-0.85,2.41E+01,1.40E-01,Very soluble,-0.89,2.20E+01,1.28E-01,Very soluble,-1.6,4.33E+00,2.51E-02,Soluble,-1.113,High,No,No,No,No,No,No,No,-7.79,0,1,0,0,1,0.55,0,1,1,1.6
Molecule 14,CC(=O)c1c(C)n(n(c1=O)c1ccccc1)C,C13H14N2O2,230.26,17,11,0.23,2,2,0,66.45,44,2.48,0.5,1.69,1.8,1.88,1.67,-1.93,2.71E+00,1.18E-02,Very soluble,-0.99,2.33E+01,1.01E-01,Very soluble,-3.13,1.72E-01,7.46E-04,Soluble,-2.017,High,Yes,No,Yes,No,No,No,No,-7.35,0,0,0,0,0,0.55,0,0,1,2.28
Molecule 15,CC(=O)NC1=C(N)C(=O)c2c(C1=O)cccc2,C12H10N2O3,230.22,17,6,0.08,2,3,2,59.57,89.26,0.74,-0.49,0.37,-0.75,1.06,0.186,-1.09,1.88E+01,8.17E-02,Very soluble,-0.92,2.79E+01,1.21E-01,Very soluble,-3.29,1.18E-01,5.13E-04,Soluble,-1.767,High,No,No,Yes,No,No,No,No,-8.05,0,0,0,0,0,0.55,1,0,1,2.77
Molecule 16,Cn1cnc2c1c(=O)n(C)c(=O)n2C,C8H10N4O2,194.19,14,9,0.38,0,3,0,52.04,61.82,1.79,-0.07,-1.03,0.22,-0.5,0.082,-1.48,6.50E+00,3.35E-02,Very soluble,-0.78,3.25E+01,1.67E-01,Very soluble,-0.67,4.15E+01,2.14E-01,Soluble,-0.977,High,No,No,No,No,No,No,No,-7.53,0,1,0,0,1,0.55,0,0,1,2.03
Molecule 17,CC(=O)NS(=O)(=O)c1ccc(cc1)N,C8H10N2O3S,214.24,14,6,0.12,3,3,2,51.75,97.64,0.5,-0.96,1.18,-0.12,-0.46,0.028,-0.68,4.45E+01,2.08E-01,Very soluble,-0.61,5.31E+01,2.48E-01,Very soluble,-2.36,9.40E-01,4.39E-03,Soluble,-1.217,High,No,No,No,No,No,No,No,-8.29,0,0,0,0,0,0.55,0,1,1,1.85
Molecule 18,O=C1c2ccccc2C(=O)C1(O)O,C9H6O4,178.14,13,6,0.11,0,4,2,42.27,74.6,0.37,0.67,-0.25,-0.63,1,0.232,-1.71,3.49E+00,1.96E-02,Very soluble,-1.81,2.74E+00,1.54E-02,Very soluble,-1.84,2.56E+00,1.44E-02,Soluble,-1.787,High,No,No,No,No,No,No,No,-6.91,0,1,0,0,1,0.55,1,2,1,1.57
Molecule 19,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,C7H8N4O2,180.16,13,9,0.29,0,3,1,47.14,72.68,0.53,-0.02,-1.04,-0.52,0.12,-0.186,-1.46,6.29E+00,3.49E-02,Very soluble,-1.06,1.58E+01,8.78E-02,Very soluble,-1.1,1.42E+01,7.89E-02,Soluble,-1.207,High,No,No,No,No,No,No,No,-7.41,0,1,0,0,1,0.55,0,0,1,1.87
Molecule 20,CCOC(=O)C(=O)CC(=O)C,C7H10O4,158.15,11,0,0.57,5,4,0,37.45,60.44,1.1,0.22,0.1,-0.31,0.77,0.376,-0.63,3.71E+01,2.35E-01,Very soluble,-1.05,1.41E+01,8.94E-02,Very soluble,-1.04,1.45E+01,9.16E-02,Soluble,-0.907,High,No,No,No,No,No,No,No,-7.11,0,2,0,0,1,0.55,0,2,1,1.68
Molecule 21,CC1=CC(=O)C(C(=O)O1)C(=O)C,C8H8O4,168.15,12,0,0.38,1,4,0,39.67,60.44,1.08,0.26,0.22,-0.46,1.1,0.44,-0.98,1.76E+01,1.05E-01,Very soluble,-1.09,1.37E+01,8.12E-02,Very soluble,-1.02,1.59E+01,9.48E-02,Soluble,-1.03,High,No,No,No,No,No,No,No,-7.14,0,1,0,0,1,0.85,0,1,1,3.52
Molecule 22,O=c1cc(n(n1c1ccccc1)C)C,C11H12N2O,188.23,14,11,0.18,1,1,0,56.26,26.93,2.29,0.38,1.48,2.18,1.52,1.57,-1.76,3.26E+00,1.73E-02,Very soluble,-0.51,5.80E+01,3.08E-01,Very soluble,-2.79,3.09E-01,1.64E-03,Soluble,-1.687,High,Yes,No,Yes,No,No,No,No,-7.18,0,0,0,0,1,0.55,0,0,1,1.88
Molecule 23,CC(=O)Nc1ccc(cc1)O,C8H9NO2,151.16,11,6,0.12,2,2,2,42.78,49.33,1.21,0.46,1.16,0.91,0.89,0.926,-1.34,6.93E+00,4.59E-02,Very soluble,-1.06,1.30E+01,8.62E-02,Very soluble,-2.19,9.72E-01,6.43E-03,Soluble,-1.53,High,Yes,No,No,No,No,No,No,-6.9,0,1,0,0,1,0.55,0,1,1,1
Molecule 24,S=C1NC(=S)C(N1)(C)C,C5H8N2S2,160.26,9,0,0.6,0,0,2,53.09,88.24,1.53,0.75,-0.19,-0.01,3.13,1.042,-1.31,7.92E+00,4.94E-02,Very soluble,-2.18,1.05E+00,6.57E-03,Soluble,-1.75,2.85E+00,1.78E-02,Soluble,-1.747,High,No,No,No,No,No,No,No,-6.75,0,1,0,0,1,0.55,0,1,1,2.23
Molecule 25,c1ccc2c(c1)nncc2,C8H6N2,130.15,10,10,0,0,2,0,39.54,25.78,1.55,0.93,1.63,1.41,2.05,1.514,-1.97,1.39E+00,1.06E-02,Very soluble,-1.06,1.14E+01,8.76E-02,Very soluble,-3.29,6.67E-02,5.13E-04,Soluble,-2.107,High,Yes,No,No,No,No,No,No,-6.43,0,3,0,0,1,0.55,0,0,1,1.24
Molecule 26,Nc1ccc(cc1)S(=O)(=O)Nc1onc(c1C)C,C11H13N3O3S,267.3,18,11,0.18,3,4,2,67.95,106.6,1.41,1.01,2.57,0.55,0.64,1.236,-2.39,1.09E+00,4.09E-03,Soluble,-2.84,3.88E-01,1.45E-03,Soluble,-4.15,1.89E-02,7.08E-05,Moderately soluble,-3.127,High,No,No,No,No,No,No,No,-7.21,0,0,0,0,0,0.55,0,1,0,3.02
Molecule 27,O=NN(c1ccccc1)N,C6H7N3O,137.14,10,6,0,2,3,1,38.48,58.69,1.77,1,1.05,0.33,-0.2,0.79,-1.63,3.20E+00,2.33E-02,Very soluble,-1.82,2.07E+00,1.51E-02,Very soluble,-1.3,6.94E+00,5.06E-02,Soluble,-1.583,High,Yes,No,No,No,No,No,No,-6.43,0,3,0,0,1,0.55,0,2,1,1.69
Molecule 28,S=c1cc[nH]cc1,C5H5NS,111.16,7,6,0,0,0,1,31.63,47.88,1.34,0.2,1.74,0.32,3.1,1.34,-1.29,5.71E+00,5.13E-02,Very soluble,-0.76,1.91E+01,1.72E-01,Very soluble,-2.07,9.37E-01,8.43E-03,Soluble,-1.373,High,Yes,No,No,No,No,No,No,-6.84,0,3,0,0,1,0.55,0,1,1,1.22
Molecule 29,O=Cc1ccc2c(c1)OCO2,C8H6O3,150.13,11,6,0.12,1,3,0,37.89,35.53,1.6,1.05,1.23,0.52,2.06,1.292,-1.77,2.55E+00,1.70E-02,Very soluble,-1.39,6.16E+00,4.10E-02,Very soluble,-2.08,1.25E+00,8.32E-03,Soluble,-1.747,High,Yes,No,Yes,No,No,No,No,-6.47,0,3,0,0,1,0.55,0,1,1,1.87
Molecule 30,OC(=O)CCC(=O)c1c[nH]c2c1cccc2,C12H11NO3,217.22,16,9,0.17,4,3,2,59.88,70.16,0.96,1.16,2.22,0.75,2.45,1.508,-2.07,1.85E+00,8.51E-03,Soluble,-2.23,1.28E+00,5.91E-03,Soluble,-3.42,8.20E-02,3.78E-04,Soluble,-2.573,High,Yes,No,No,No,No,No,No,-6.8,0,0,0,0,0,0.85,0,0,1,1.65
Molecule 31,CC(=O)Oc1ccccc1C(=O)O,C9H8O4,180.16,13,6,0.11,3,4,1,44.9,63.6,1.3,1.19,1.31,1.51,1.1,1.282,-1.85,2.54E+00,1.41E-02,Very soluble,-2.12,1.36E+00,7.56E-03,Soluble,-1.85,2.57E+00,1.43E-02,Soluble,-1.94,High,Yes,No,No,No,No,No,No,-6.55,0,0,0,0,1,0.85,0,1,1,1.52
Molecule 32,c1coc(c1)CNc1ncnc2c1[nH]cn2,C10H9N5O,215.21,16,14,0.1,3,4,2,57.74,79.63,0.94,1.01,1.22,-0.15,1.47,0.898,-2.26,1.18E+00,5.49E-03,Soluble,-2.27,1.15E+00,5.35E-03,Soluble,-4.36,9.37E-03,4.36E-05,Moderately soluble,-2.963,High,No,Yes,Yes,No,No,Yes,Yes,-6.9,0,0,0,0,0,0.55,0,0,1,2.28
Molecule 33,O=c1[nH]cnc2c1cccc2,C8H6N2O,146.15,11,10,0,0,2,1,42.36,45.75,1.12,0.77,0.92,1.13,2.12,1.212,-1.9,1.82E+00,1.25E-02,Very soluble,-1.31,7.14E+00,4.89E-02,Very soluble,-3.21,8.95E-02,6.12E-04,Soluble,-2.14,High,Yes,No,Yes,No,No,No,No,-6.64,0,2,0,0,1,0.55,0,0,1,1.39
Molecule 34,O=C1CC(C)(C)NC(C1)(C)C,C9H17NO,155.24,11,0,0.89,0,2,1,50.26,29.1,2.08,0.49,1.12,1.07,2.11,1.374,-1.11,1.20E+01,7.74E-02,Very soluble,-0.67,3.31E+01,2.13E-01,Very soluble,-2.72,2.96E-01,1.91E-03,Soluble,-1.5,High,Yes,No,No,No,No,No,No,-6.9,0,1,0,0,1,0.55,0,0,1,1.31
Molecule 35,CC=CC=CC(=O)O,C6H8O2,112.13,8,0,0.17,2,2,1,31.78,37.3,1.46,1.33,1.2,1.07,0.57,1.126,-1.24,6.44E+00,5.74E-02,Very soluble,-1.71,2.16E+00,1.93E-02,Very soluble,0.24,1.94E+02,1.73E+00,Soluble,-0.903,High,Yes,No,No,No,No,No,No,-6.04,0,3,0,0,1,0.85,0,2,1,2.79
Molecule 36,OCCc1ccccc1,C8H10O,122.16,9,6,0.25,2,1,1,37.38,20.23,1.7,1.36,1.22,1.87,2.03,1.636,-1.82,1.87E+00,1.53E-02,Very soluble,-1.39,5.01E+00,4.10E-02,Very soluble,-2.58,3.18E-01,2.60E-03,Soluble,-1.93,High,Yes,No,Yes,No,No,No,No,-6.08,0,3,0,0,2,0.55,0,0,1,1
Molecule 37,COc1ccc2c(c1)oc(=O)cc2,C10H8O3,176.17,13,10,0.1,1,3,0,48.98,39.44,2.06,1.74,1.8,1.34,2.44,1.876,-2.53,5.18E-01,2.94E-03,Soluble,-2.19,1.15E+00,6.53E-03,Soluble,-3.74,3.24E-02,1.84E-04,Soluble,-2.82,High,Yes,No,Yes,No,No,No,No,-6.14,0,0,0,0,1,0.55,0,1,1,2.59
Molecule 38,OCC(COc1ccccc1C)O,C10H14O3,182.22,13,6,0.4,4,3,2,49.84,49.69,2.16,1.41,0.73,0.95,1.58,1.366,-1.94,2.11E+00,1.16E-02,Very soluble,-2.06,1.59E+00,8.75E-03,Soluble,-2.23,1.07E+00,5.85E-03,Soluble,-2.077,High,Yes,No,No,No,No,No,No,-6.41,0,0,0,0,1,0.55,0,0,1,2.18
Molecule 39,COc1ccc(cc1O)C(=O)O,C8H8O4,168.15,12,6,0.12,2,4,2,41.92,66.76,0.89,1.43,1.1,0.74,0.73,0.978,-2.02,1.60E+00,9.52E-03,Soluble,-2.44,6.15E-01,3.66E-03,Soluble,-1.32,8.10E+00,4.82E-02,Soluble,-1.927,High,No,No,No,No,No,No,No,-6.31,0,0,0,0,1,0.85,0,0,1,1.24
Molecule 40,COC(=O)CCC(=O)c1c[nH]c2c1cccc2,C13H13NO3,231.25,17,9,0.23,5,3,1,64.2,59.16,1.81,1.49,2.3,1.03,2.97,1.92,-2.27,1.23E+00,5.32E-03,Soluble,-2.34,1.06E+00,4.57E-03,Soluble,-4.12,1.73E-02,7.50E-05,Moderately soluble,-2.91,High,Yes,No,Yes,No,No,No,No,-6.65,0,0,0,0,0,0.55,0,0,1,1.82
Molecule 41,O=C1CC(O)C(=O)C2C1NC(NC2)c1ccccc1,C14H16N2O3,260.29,19,6,0.43,1,5,3,75.82,78.43,0.96,-0.49,-1.32,0.22,0.73,0.02,-1.31,1.27E+01,4.87E-02,Very soluble,-0.69,5.32E+01,2.04E-01,Very soluble,-3,2.58E-01,9.93E-04,Soluble,-1.667,High,No,No,No,No,No,No,No,-8.24,0,1,0,0,0,0.55,0,0,0,3.09
Molecule 42,CCOc1ccc(cc1)NC(=O)C,C10H13NO2,179.22,13,6,0.3,4,2,1,52.05,38.33,2.1,1.58,1.85,1.54,1.74,1.762,-2.02,1.70E+00,9.46E-03,Soluble,-2,1.81E+00,1.01E-02,Very soluble,-3.32,8.66E-02,4.83E-04,Soluble,-2.447,High,Yes,No,Yes,No,No,No,No,-6.27,0,0,0,0,1,0.55,0,0,1,1.13
Molecule 43,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C21H30O5,362.46,26,0,0.81,2,5,3,97.53,94.83,2.2,1.61,1.78,1.39,2.47,1.89,-2.97,3.89E-01,1.07E-03,Soluble,-3.21,2.22E-01,6.12E-04,Soluble,-2.63,8.42E-01,2.32E-03,Soluble,-2.937,High,No,Yes,No,No,No,No,No,-7.37,0,0,0,0,0,0.55,0,0,1,5.16
Molecule 44,CC(=O)c1ccc(cc1)C(=O)O,C9H8O3,164.16,12,6,0.11,2,3,1,43.6,54.37,0.76,1.61,1.59,1.28,1.55,1.358,-2.11,1.27E+00,7.76E-03,Soluble,-2.36,7.11E-01,4.33E-03,Soluble,-2.1,1.31E+00,7.98E-03,Soluble,-2.19,High,Yes,No,No,No,No,No,No,-6.16,0,0,0,0,1,0.85,0,0,1,1
Molecule 45,COc1ccc2c(c1)[nH]c1c2CCN=C1C,C13H14N2O,214.26,16,9,0.31,1,2,1,69.23,37.38,2.11,2.07,2.16,1.41,4.1,2.37,-2.82,3.22E-01,1.50E-03,Soluble,-2.48,7.03E-01,3.28E-03,Soluble,-4.67,4.59E-03,2.14E-05,Moderately soluble,-3.323,High,Yes,Yes,Yes,No,No,Yes,No,-6.14,0,0,0,0,0,0.55,0,0,1,2.58
Molecule 46,c1ccc(nc1)c1ccccn1,C10H8N2,156.18,12,12,0,1,2,0,47.47,25.78,1.93,1.5,2.14,0.91,2.55,1.806,-2.43,5.84E-01,3.74E-03,Soluble,-1.65,3.50E+00,2.24E-02,Very soluble,-4.16,1.09E-02,7.00E-05,Moderately soluble,-2.747,High,Yes,No,Yes,No,No,No,No,-6.19,0,1,0,0,1,0.55,0,0,1,1.66
Molecule 47,COc1cccc(c1OC)C(=O)O,C9H10O4,182.17,13,6,0.22,3,4,1,46.39,55.76,1.49,1.72,1.4,1.06,1.23,1.38,-2.2,1.16E+00,6.36E-03,Soluble,-2.51,5.67E-01,3.11E-03,Soluble,-2.03,1.72E+00,9.42E-03,Soluble,-2.247,High,Yes,No,No,No,No,No,No,-6.19,0,0,0,0,1,0.85,0,0,1,1.62
Molecule 48,CC(=O)c1cc2c(o1)cccc2,C10H8O2,160.17,12,9,0.1,1,2,0,46.41,30.21,2.11,2.57,2.64,1.18,2.72,2.244,-2.94,1.83E-01,1.15E-03,Soluble,-2.85,2.25E-01,1.40E-03,Soluble,-3.61,3.92E-02,2.45E-04,Soluble,-3.133,High,Yes,No,Yes,No,No,No,No,-5.45,0,0,0,0,1,0.55,0,0,1,2.2
Molecule 49,Ic1cccnc1,C5H4IN,205,7,6,0,0,1,0,36.95,12.89,1.58,1.8,1.69,1.41,2.47,1.79,-2.88,2.71E-01,1.32E-03,Soluble,-1.69,4.19E+00,2.04E-02,Very soluble,-2.98,2.15E-01,1.05E-03,Soluble,-2.517,High,Yes,No,Yes,No,No,No,No,-6.27,0,2,0,0,1,0.55,0,1,1,1.97
