Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,log_s_mean,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 198,C=CCc1ccc(c(c1)OC)OC,C11H14O2,178.23,13,6,0.27,4,2,0,53.53,18.46,2.65,2.52,2.43,2.3,3,2.58,-2.61,4.37E-01,2.45E-03,Soluble,-2.55,4.98E-01,2.79E-03,Soluble,-3.5,5.62E-02,3.16E-04,Soluble,-2.887,High,Yes,No,Yes,No,No,No,No,-5.6,0,0,0,0,1,0.55,0,1,1,1.71
Molecule 199,COc1cc(C=O)ccc1O,C8H8O3,152.15,11,6,0.12,2,3,1,40.34,46.53,1.57,1.21,1.21,0.51,1.49,1.2,-1.82,2.32E+00,1.52E-02,Very soluble,-1.78,2.50E+00,1.64E-02,Very soluble,-1.88,2.00E+00,1.32E-02,Soluble,-1.827,High,Yes,No,No,No,No,No,No,-6.37,0,2,0,0,1,0.55,0,1,1,1.15
Molecule 200,CC=Cc1ccc(c(c1)OC)OC,C11H14O2,178.23,13,6,0.27,3,2,0,54.32,18.46,2.75,3.4,2.63,2.3,2.82,2.78,-3.23,1.05E-01,5.88E-04,Soluble,-3.47,6.08E-02,3.41E-04,Soluble,-3.13,1.33E-01,7.45E-04,Soluble,-3.277,High,Yes,No,Yes,No,No,No,No,-4.97,0,0,0,0,1,0.55,0,0,1,1.93
Molecule 201,OC(=O)c1ccc(cc1)C(=O)O,C8H6O4,166.13,12,6,0,2,4,2,40.36,74.6,0.74,2,1.08,1.2,0.61,1.13,-2.37,7.12E-01,4.29E-03,Soluble,-3.19,1.06E-01,6.41E-04,Soluble,-1.14,1.21E+01,7.29E-02,Soluble,-2.233,High,No,No,No,No,No,No,No,-5.89,0,1,0,0,1,0.85,0,0,1,1
Molecule 202,OCC1COC(O1)(C)C,C6H12O3,132.16,9,0,1,1,3,1,32.21,38.69,1.71,-0.2,0.13,-0.26,0.84,0.44,-0.47,4.51E+01,3.41E-01,Very soluble,-0.16,9.22E+01,6.98E-01,Very soluble,-0.52,4.01E+01,3.03E-01,Soluble,-0.383,High,No,No,No,No,No,No,No,-7.25,0,2,0,0,1,0.55,0,0,1,3.09
Molecule 203,Clc1ccc2c(c1)[n+]([O-])c1c(n2)cccc1,C12H7ClN2O,230.65,16,14,0,0,2,0,65.42,38.35,1.97,2.27,2.67,3.14,2.25,2.46,-3.35,1.04E-01,4.49E-04,Soluble,-2.71,4.48E-01,1.94E-03,Soluble,-4.23,1.36E-02,5.89E-05,Moderately soluble,-3.43,High,Yes,Yes,Yes,Yes,No,No,No,-6.1,0,0,0,0,0,0.55,1,3,1,2.13
Molecule 204,OC(=O)Cc1ccccc1,C8H8O2,136.15,10,6,0.12,2,2,1,37.99,37.3,1.23,1.41,1.31,1.66,1.54,1.43,-1.88,1.78E+00,1.30E-02,Very soluble,-1.8,2.17E+00,1.59E-02,Very soluble,-2.14,9.77E-01,7.18E-03,Soluble,-1.94,High,Yes,No,No,No,No,No,No,-6.13,0,3,0,0,1,0.85,0,0,1,1
Molecule 205,C/C=C/C(=O)O,C4H6O2,86.09,6,0,0.25,1,2,1,22.64,37.3,1.12,0.72,0.65,0.38,-0.05,0.56,-0.76,1.49E+01,1.73E-01,Very soluble,-1.08,7.13E+00,8.29E-02,Very soluble,0.38,2.04E+02,2.37E+00,Soluble,-0.487,High,Yes,No,No,No,No,No,No,-6.31,0,3,0,0,2,0.85,0,1,1,1.52
Molecule 206,ClP(c1ccccc1)c1ccccc1,C12H10ClP,220.63,14,12,0,2,0,0,64.93,13.59,2.8,4.92,3.27,4.15,4.54,3.94,-4.81,3.42E-03,1.55E-05,Moderately soluble,-4.94,2.52E-03,1.14E-05,Moderately soluble,-5.65,4.96E-04,2.25E-06,Moderately soluble,-5.133,High,Yes,No,Yes,Yes,Yes,No,No,-4.15,0,0,0,0,1,0.55,0,1,2,3.65
Molecule 207,O=C1CCCCC1,C6H10O,98.14,7,0,0.83,0,1,0,29.04,17.07,1.56,0.81,1.52,1,2.19,1.41,-0.96,1.08E+01,1.10E-01,Very soluble,-0.75,1.74E+01,1.78E-01,Very soluble,-1.35,4.35E+00,4.44E-02,Soluble,-1.02,High,Yes,No,No,No,No,No,No,-6.32,0,3,0,0,2,0.55,0,0,1,1.18
Molecule 208,C1CCCS1,C4H8S,88.17,5,0,1,0,0,0,26.82,25.3,1.64,1.36,1.51,1.42,2.43,1.67,-1.24,5.03E+00,5.71E-02,Very soluble,-1.49,2.83E+00,3.21E-02,Very soluble,-1,8.86E+00,1.00E-01,Soluble,-1.243,High,Yes,No,No,No,No,No,No,-5.87,0,3,0,0,3,0.55,0,0,1,2.12
Molecule 209,N1CCNCC1,C4H10N2,86.14,6,0,1,0,2,2,32.66,24.06,1.3,-1.5,-1.58,-0.57,0.92,-0.29,0.57,3.21E+02,3.72E+00,Highly soluble,1.5,2.72E+03,3.16E+01,Highly soluble,-0.99,8.90E+00,1.03E-01,Soluble,0.36,Low,No,No,No,No,No,No,No,-7.89,0,4,0,0,2,0.55,0,0,1,1
Molecule 210,O=S=Nc1ccccc1,C6H5NOS,139.17,9,6,0,1,2,0,36.81,61.52,0,2.46,2.58,1.16,0.95,1.43,-2.68,2.91E-01,2.09E-03,Soluble,-3.4,5.59E-02,4.02E-04,Soluble,-2.43,5.16E-01,3.71E-03,Soluble,-2.837,High,Yes,No,No,No,No,No,No,-5.4,0,3,0,0,1,0.55,0,0,1,1.62
Molecule 211,Oc1ccc(cc1)C1CCCCC1,C12H16O,176.25,13,6,0.5,1,1,1,55.35,20.23,2.31,4.22,3.44,2.94,3.19,3.22,-3.87,2.39E-02,1.36E-04,Soluble,-4.36,7.78E-03,4.41E-05,Moderately soluble,-3.25,9.80E-02,5.56E-04,Soluble,-3.827,High,Yes,No,No,No,No,Yes,No,-4.38,0,0,0,0,2,0.55,0,0,2,1.32
Molecule 212,C[Si]([Si](c1ccccc1)(C)C)(c1ccccc1)C,C16H22Si2,270.52,18,12,0.25,3,0,0,87.12,0,3.28,6.15,3.3,4.92,2,3.93,-5.69,5.56E-04,2.06E-06,Moderately soluble,-5.93,3.16E-04,1.17E-06,Moderately soluble,-6.67,5.77E-05,2.13E-07,Poorly soluble,-6.097,Low,Yes,No,Yes,No,No,Yes,No,-3.58,1,0,0,0,2,0.55,0,1,1,3.92
Molecule 213,OC(=O)c1ccccc1Cl,C7H5ClO2,156.57,10,6,0,1,2,1,38.41,37.3,1.33,2.05,2.04,2.2,1.86,1.9,-2.48,5.18E-01,3.31E-03,Soluble,-2.46,5.41E-01,3.45E-03,Soluble,-2.37,6.63E-01,4.24E-03,Soluble,-2.437,High,Yes,No,No,No,No,No,No,-5.8,0,3,0,0,1,0.85,0,0,1,1
Molecule 214,OC(=O)c1ccccc1N,C7H7NO2,137.14,10,6,0,1,2,2,37.81,63.32,1.04,1.21,0.98,-0.12,0.5,0.72,-1.83,2.03E+00,1.48E-02,Very soluble,-2.14,1.00E+00,7.30E-03,Soluble,-1.38,5.69E+00,4.15E-02,Soluble,-1.783,High,Yes,No,No,No,No,No,No,-6.28,0,3,0,0,1,0.85,0,1,1,1
Molecule 215,OC(c1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C,C17H22N2O,270.37,20,12,0.29,4,1,1,85.47,26.71,2.83,2.98,2.58,2.82,2.34,2.71,-3.57,7.22E-02,2.67E-04,Soluble,-3.2,1.69E-01,6.25E-04,Soluble,-4.61,6.64E-03,2.45E-05,Moderately soluble,-3.793,High,Yes,No,Yes,No,No,Yes,No,-5.83,0,0,0,0,0,0.55,2,0,0,1.86
Molecule 216,CC(=O)c1ccco1,C6H6O2,110.11,8,5,0.17,1,2,0,28.9,30.21,1.65,0.52,1.48,-0.18,1.58,1.01,-1.25,6.24E+00,5.67E-02,Very soluble,-0.73,2.07E+01,1.88E-01,Very soluble,-1.88,1.44E+00,1.31E-02,Soluble,-1.287,High,Yes,No,No,No,No,No,No,-6.6,0,3,0,0,1,0.55,0,0,1,1.93
Molecule 217,Oc1ccccc1O,C6H6O2,110.11,8,6,0,0,2,2,30.49,40.46,1.13,0.88,1.1,0.79,0.94,0.97,-1.63,2.57E+00,2.33E-02,Very soluble,-1.31,5.34E+00,4.85E-02,Very soluble,-1.18,7.21E+00,6.55E-02,Soluble,-1.373,High,Yes,No,No,No,No,No,Yes,-6.35,0,3,0,0,1,0.55,1,1,1,1
Molecule 218,c1ccc(nc1)Nc1ccccn1,C10H9N3,171.2,13,12,0,2,2,1,51.58,37.81,1.2,1.99,2.22,0.97,1.71,1.62,-2.71,3.37E-01,1.97E-03,Soluble,-2.41,6.66E-01,3.89E-03,Soluble,-4.21,1.04E-02,6.10E-05,Moderately soluble,-3.11,High,Yes,No,Yes,No,No,No,No,-5.93,0,0,0,0,1,0.55,0,0,1,2.07
Molecule 219,Nc1cccc(c1)S(=O)(=O)O,C6H7NO3S,173.19,11,6,0,1,3,2,40.71,88.77,0.13,-0.2,1.6,0.51,-0.49,0.31,-1.13,1.30E+01,7.49E-02,Very soluble,-1.21,1.07E+01,6.20E-02,Very soluble,-1.38,7.15E+00,4.13E-02,Soluble,-1.24,High,No,No,No,No,No,No,No,-7.5,0,1,0,0,1,0.56,0,2,1,2.06
Molecule 220,[O-][N+](=O)c1ccc(c(c1)Cl)N,C6H5ClN2O2,172.57,11,6,0,1,2,1,44.68,71.84,1.2,2.14,1.84,0.88,-0.37,1.14,-2.6,4.38E-01,2.54E-03,Soluble,-3.28,9.05E-02,5.24E-04,Soluble,-2.03,1.61E+00,9.31E-03,Soluble,-2.637,High,Yes,No,No,No,No,No,No,-5.83,0,1,0,0,1,0.55,0,3,1,1.91
Molecule 221,OC(=O)c1cccc(c1)C(=O)O,C8H6O4,166.13,12,6,0,2,4,2,40.36,74.6,0.75,1.66,1.08,1.2,0.61,1.06,-2.15,1.17E+00,7.02E-03,Soluble,-2.84,2.40E-01,1.44E-03,Soluble,-1.14,1.21E+01,7.29E-02,Soluble,-2.043,High,No,No,No,No,No,No,No,-6.13,0,1,0,0,1,0.85,0,0,1,1.06
Molecule 222,OC(=O)c1cccc(c1)[N+](=O)[O-],C7H5NO4,167.12,12,6,0,2,4,1,42.22,83.12,0.77,1.83,1.29,0.51,-0.93,0.69,-2.27,9.04E-01,5.41E-03,Soluble,-3.2,1.06E-01,6.37E-04,Soluble,-1.15,1.20E+01,7.16E-02,Soluble,-2.207,High,No,No,No,No,No,No,No,-6.02,0,1,0,0,1,0.56,0,2,1,1.62
Molecule 223,C1CCCN1,C4H9N,71.12,5,0,1,0,1,1,25.94,12.03,1.51,0.46,-0.01,0.35,1.55,0.77,-0.57,1.91E+01,2.69E-01,Very soluble,-0.28,3.72E+01,5.23E-01,Very soluble,-0.9,8.97E+00,1.26E-01,Soluble,-0.583,Low,No,No,No,No,No,No,No,-6.41,0,3,0,0,3,0.55,0,0,1,1
Molecule 224,Clc1ccccc1c1ccccc1Cl,C12H8Cl2,223.1,14,12,0,1,0,0,61.9,0,2.75,4.97,4.66,4.95,4.8,4.43,-4.92,2.67E-03,1.20E-05,Moderately soluble,-4.71,4.36E-03,1.96E-05,Moderately soluble,-6.15,1.57E-04,7.03E-07,Poorly soluble,-5.26,Low,No,No,Yes,Yes,Yes,No,No,-4.13,1,0,0,0,1,0.55,0,0,2,1.62
Molecule 225,CCOC(=O)CC(=O)C,C6H10O3,130.14,9,0,0.67,4,3,0,32.44,43.37,1.3,0.25,0.53,0.28,0.73,0.62,-0.54,3.75E+01,2.88E-01,Very soluble,-0.72,2.47E+01,1.90E-01,Very soluble,-1.06,1.12E+01,8.61E-02,Soluble,-0.773,High,Yes,No,No,No,No,No,No,-6.92,0,3,0,0,1,0.55,0,1,1,1.42
Molecule 226,OC(=O)C(=O)O,C2H2O4,90.03,6,0,0,1,4,2,15.27,74.6,-0.35,-0.25,-0.84,-1.51,-0.97,-0.79,-0.17,6.02E+01,6.69E-01,Very soluble,-0.86,1.25E+01,1.39E-01,Very soluble,1.47,2.66E+03,2.95E+01,Soluble,0.147,High,No,No,No,No,No,No,No,-7.03,0,4,0,0,2,0.85,0,1,1,1
Molecule 227,[O-]C(=CC(=O)c1ccccc1)c1ccccc1.[O-]C(=CC(=O)c1ccccc1)c1ccccc1.[O-]C(=CC(=O)c1ccccc1)c1ccccc1.[Fe+3],C45H33FeO6,725.58,52,36,0,9,6,0,197.63,120.39,-193.35,11.03,10.02,3.95,3.17,-33.03,-11.21,4.52E-09,6.23E-12,Insoluble,-13.53,2.17E-11,2.98E-14,Insoluble,-4.38,2.99E-02,4.12E-05,Moderately soluble,-9.707,Low,No,Yes,No,No,No,No,No,-2.89,1,4,0,1,2,0.56,0,3,3,4.53
Molecule 228,CC1=C(Cl)C(=O)c2c(C1=O)cccc2,C11H7ClO2,206.63,14,6,0.09,0,2,0,53.85,34.14,1.85,2.93,2.58,1.49,3.31,2.43,-3.28,1.07E-01,5.20E-04,Soluble,-3.31,1.02E-01,4.91E-04,Soluble,-4.26,1.13E-02,5.46E-05,Moderately soluble,-3.617,High,Yes,No,Yes,Yes,No,No,No,-5.48,0,0,0,0,0,0.55,2,0,1,2.46
Molecule 229,CN1/C(=N\C)/SCC1=O,C5H8N2OS,144.19,9,0,0.6,0,2,0,42.32,57.97,1.48,0.43,-0.2,-0.08,1.14,0.55,-1,1.43E+01,9.89E-02,Very soluble,-1.21,8.79E+00,6.10E-02,Very soluble,-0.83,2.13E+01,1.48E-01,Soluble,-1.013,High,No,No,No,No,No,No,No,-6.87,0,2,0,0,1,0.55,0,1,1,3.11
Molecule 230,[O-][N+](=O)c1ccc(cc1)c1cc(=O)c2c(o1)cccc2,C15H9NO4,267.24,20,16,0,2,4,0,76.74,76.03,2.21,3.38,3.37,1.2,1.79,2.39,-4.09,2.19E-02,8.20E-05,Moderately soluble,-4.66,5.91E-03,2.21E-05,Moderately soluble,-5.51,8.26E-04,3.09E-06,Moderately soluble,-4.753,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.53,0,0,0,0,0,0.55,0,2,0,2.81
Molecule 231,CC(C#CC#CC#CC#CC(C)(C)C)(C)C,C16H18,210.31,16,0,0.5,0,0,0,71.15,0,4.27,5.22,3.41,6,4.26,4.63,-4.43,7.77E-03,3.69E-05,Moderately soluble,-4.97,2.26E-03,1.08E-05,Moderately soluble,-2.64,4.83E-01,2.30E-03,Soluble,-4.013,Low,Yes,No,No,No,Yes,No,No,-3.88,1,0,0,0,2,0.55,0,1,2,3.64
Molecule 232,c1ccc2c(c1)C=Cc1c(N2)cccc1,C14H11N,193.24,15,12,0,0,0,1,67.85,12.03,2.25,3.96,3.32,3.4,3.14,3.21,-4.12,1.45E-02,7.50E-05,Moderately soluble,-3.91,2.36E-02,1.22E-04,Soluble,-5.05,1.71E-03,8.87E-06,Moderately soluble,-4.36,High,Yes,No,Yes,Yes,No,No,No,-4.67,0,0,0,0,2,0.55,0,1,2,2.83
Molecule 233,c1ccc2c(c1)n1c(cn2)nc2c1cccc2,C14H9N3,219.24,17,17,0,0,2,0,68,30.19,2.26,2.73,3.04,2.58,2.41,2.6,-3.66,4.81E-02,2.19E-04,Soluble,-3.02,2.10E-01,9.59E-04,Soluble,-5.07,1.86E-03,8.47E-06,Moderately soluble,-3.917,High,Yes,Yes,Yes,No,No,Yes,Yes,-5.7,0,0,0,0,0,0.55,0,0,1,1.75
Molecule 234,O=C(c1ccco1)c1ccccc1,C11H8O2,172.18,13,11,0,2,2,0,48.58,30.21,1.88,2.18,2.51,1.16,2.83,2.11,-2.78,2.89E-01,1.68E-03,Soluble,-2.45,6.14E-01,3.57E-03,Soluble,-4.07,1.46E-02,8.49E-05,Moderately soluble,-3.1,High,Yes,No,Yes,No,No,No,No,-5.8,0,0,0,0,1,0.55,0,0,1,2.1
Molecule 235,O=C1C=CC(=NNc2ccc(cc2)Cl)C=C1,C12H9ClN2O,232.67,16,6,0,2,2,1,65.62,41.46,2.09,2.81,2.61,2.15,2.59,2.45,-3.2,1.47E-01,6.33E-04,Soluble,-3.34,1.07E-01,4.59E-04,Soluble,-3.73,4.38E-02,1.88E-04,Soluble,-3.423,High,Yes,No,Yes,Yes,No,No,No,-5.72,0,0,0,0,0,0.55,1,2,1,3.02
Molecule 236,c1ccc2c(c1)non2,C6H4N2O,120.11,9,9,0,0,3,0,31.8,38.92,1.79,1.69,1.22,0.16,1.54,1.28,-2.39,4.90E-01,4.08E-03,Soluble,-2.12,9.06E-01,7.55E-03,Soluble,-2.49,3.87E-01,3.22E-03,Soluble,-2.333,High,Yes,No,Yes,No,No,No,No,-5.83,0,3,0,0,1,0.55,0,0,1,2.29
Molecule 237,c1ncc[nH]1,C3H4N2,68.08,5,5,0,0,1,1,18.59,28.68,0,0.06,0.41,-0.92,1.36,0.18,-1.04,6.21E+00,9.12E-02,Very soluble,-0.22,4.14E+01,6.08E-01,Very soluble,-1.08,5.61E+00,8.24E-02,Soluble,-0.78,High,No,No,No,No,No,No,No,-6.67,0,3,0,0,2,0.55,0,0,1,1
Molecule 238,[O]N1C(C)(C)CC(=O)CC1(C)C,C9H16NO2,170.23,12,0,0.89,0,3,0,49.98,20.31,-3.69,0.12,1.17,1,1.05,-0.07,-0.97,1.82E+01,1.07E-01,Very soluble,-0.1,1.35E+02,7.90E-01,Very soluble,-1.44,6.19E+00,3.64E-02,Soluble,-0.837,High,Yes,No,No,No,No,No,No,-7.25,0,0,0,0,1,0.55,0,0,1,1.75
Molecule 239,Cc1ccc(cc1c1cc(C)ccc1C)C,C16H18,210.31,16,12,0.25,1,0,0,71.74,0,3.17,5.01,4.59,5.83,5.5,4.82,-4.79,3.42E-03,1.62E-05,Moderately soluble,-4.75,3.74E-03,1.78E-05,Moderately soluble,-6.47,7.14E-05,3.40E-07,Poorly soluble,-5.337,Low,No,No,No,Yes,No,No,No,-4.03,1,0,0,0,2,0.55,0,0,2,1.82
Molecule 240,OC(=O)CC(=O)C(=O)O,C4H4O5,132.07,9,0,0.25,3,5,2,25.09,91.67,-0.48,-0.63,-0.89,-1.47,-0.93,-0.88,-0.06,1.14E+02,8.63E-01,Very soluble,-0.82,1.99E+01,1.50E-01,Very soluble,1.05,1.50E+03,1.13E+01,Soluble,0.057,High,No,No,No,No,No,No,No,-7.55,0,4,0,0,2,0.56,0,2,1,1.49
Molecule 241,Clc1ccc(c(c1)/C(=N\C(C(=O)O)Cc1ccccc1)/c1ccccc1)O,C22H18ClNO3,379.84,27,18,0.09,6,4,2,107.29,69.89,2.77,5.4,4.58,3.75,5.21,4.34,-5.69,7.68E-04,2.02E-06,Moderately soluble,-6.62,9.06E-05,2.39E-07,Poorly soluble,-7.33,1.77E-05,4.67E-08,Poorly soluble,-6.547,High,Yes,No,No,No,Yes,No,Yes,-4.78,0,0,0,0,1,0.85,0,1,2,3.56
Molecule 242,COc1ncc(cn1)Cl,C5H5ClN2O,144.56,9,6,0.2,1,3,0,33.53,35.01,1.8,1.14,1.14,0.33,1.56,1.2,-1.88,1.90E+00,1.31E-02,Very soluble,-1.47,4.91E+00,3.39E-02,Very soluble,-2.37,6.12E-01,4.24E-03,Soluble,-1.907,High,Yes,No,No,No,No,No,No,-6.37,0,3,0,0,1,0.55,0,0,1,1.71
Molecule 243,CCOC(=O)c1cc(C)nc(c1C#N)Cl,C10H9ClN2O2,224.64,15,6,0.3,3,4,0,55.01,62.98,1.82,2.15,2.09,0.9,2.67,1.93,-2.69,4.64E-01,2.06E-03,Soluble,-3.1,1.76E-01,7.86E-04,Soluble,-3.6,5.60E-02,2.49E-04,Soluble,-3.13,High,Yes,No,Yes,No,No,No,No,-6.14,0,0,0,0,0,0.55,0,1,1,2.33
Molecule 244,COC(=O)C1C2=C3N=C(C(C3CCC(=O)OCC=C(CCCC(CCCC(CCCC(C)C)C)C)C)C)C=c3[n-]c(=CC4=NC(=Cc5[n-]c2c(C1=O)c5C)C(=C4C)CC)c(c3C)C=C,C55H72N4O5--,869.18,64,10,0.55,22,9,0,273.54,120.17,9.01,13.99,9.79,4.83,15.88,10.7,-12.71,1.71E-10,1.97E-13,Insoluble,-16.59,2.22E-14,2.56E-17,Insoluble,-14.56,2.37E-12,2.73E-15,Insoluble,-14.62,Low,No,Yes,No,No,No,No,No,-1.67,2,4,1,1,3,0.56,0,3,3,10
Molecule 245,CCCCCCCCCSSCCCCCCCCC,C18H38S2,318.62,20,0,1,17,0,0,103.82,50.6,5.45,8.83,7.87,6.01,7.39,7.11,-6.26,1.77E-04,5.54E-07,Poorly soluble,-9.78,5.33E-08,1.67E-10,Poorly soluble,-7.33,1.48E-05,4.66E-08,Poorly soluble,-7.79,Low,No,No,Yes,No,No,No,No,-1.97,1,1,1,1,2,0.55,0,1,2,3.99
Molecule 246,c1ccc2c(c1)C1c3c(C2c2c1cccc2)cccc3,C20H14,254.33,20,18,0.1,0,0,0,81.44,0,2.91,4.83,4.67,6.14,5.14,4.74,-5.13,1.90E-03,7.49E-06,Moderately soluble,-4.56,6.95E-03,2.73E-05,Moderately soluble,-7.52,7.72E-06,3.03E-08,Poorly soluble,-5.737,Low,No,Yes,Yes,Yes,No,No,No,-4.42,1,0,0,0,1,0.55,0,0,1,3.1
Molecule 247,[O-][n+]1onc2c1cccc2,C6H4N2O2,136.11,10,9,0,0,3,0,35.17,51.49,1.4,1.43,0.46,1.2,0.17,0.93,-2.25,7.64E-01,5.61E-03,Soluble,-2.12,1.04E+00,7.65E-03,Soluble,-1.11,1.04E+01,7.67E-02,Soluble,-1.827,High,No,No,Yes,No,No,No,No,-6.11,0,3,0,0,1,0.55,0,1,1,3.05
Molecule 248,BrC(c1ccccc1)C(=O)O,C8H7BrO2,215.04,11,6,0.12,2,2,1,45.86,37.3,1.42,2.28,1.88,2.14,1.91,1.93,-2.88,2.83E-01,1.31E-03,Soluble,-2.7,4.29E-01,1.99E-03,Soluble,-2.68,4.51E-01,2.10E-03,Soluble,-2.753,High,Yes,No,No,No,No,No,No,-5.99,0,1,0,0,0,0.85,0,1,1,2
Molecule 249,ONC(=O)c1ccccc1,C7H7NO2,137.14,10,6,0,2,2,2,35.36,49.33,1.21,0.26,0.81,1.13,0.44,0.77,-1.17,9.36E+00,6.82E-02,Very soluble,-0.86,1.91E+01,1.39E-01,Very soluble,-1.79,2.21E+00,1.61E-02,Soluble,-1.273,High,Yes,No,No,No,No,No,No,-6.95,0,3,0,0,1,0.55,0,2,1,1
Molecule 250,OC(=O)c1cc2c(o1)cccc2,C9H6O3,162.14,12,9,0,1,3,1,43.17,50.44,1.36,2.41,2.13,1.08,1.75,1.75,-2.85,2.28E-01,1.40E-03,Soluble,-3.11,1.25E-01,7.74E-04,Soluble,-2.65,3.63E-01,2.24E-03,Soluble,-2.87,High,Yes,No,Yes,No,No,No,No,-5.58,0,1,0,0,1,0.85,0,0,1,2.2
